	Class A B C D E F G H I J K L M N O P Q R S T U V X Y W Z AA BB
965	1 -11.47 -9.023 38.18 -80 -117.6 38.48 -73.07 61.16 -120.3 70.97 89.26 10.89 105.9 -88.38 -165.5 117.7 -22.46 -147.3 -8.64 161.28 13.52 -32.51 186.3 -169.09 -280.53 -327.69 289.28 -245.99
966	1 29.24 24.49 -39.13 40 -17.24 -106.2 -56.37 -102.3 4.449 -24.31 -76.34 12.45 7.277 61.49 59.61 -16.78 0.7406 -78.46 -65.27 -110.3 317.33 -5.89 124.8 -252.02 -61.38 331.34 68.82 76.41
967	1 -51.61 -42.25 -45.27 80 -136.4 -40.43 -50.8 85.12 11.38 72.28 -0.3721 -88.97 -13.18 90.56 139.1 67.95 13.89 -33.99 266.7 -37.79 30.39 185.94 -242.65 -96.55 -104.54 -129.79 60.9 17.82
968	1 -45.3 -32.52 46.66 230 52.08 25.32 -45.24 -166.5 211 42.13 -201.5 21.29 -201 -121.1 280.7 -17.77 -94.4 76.76 -27.18 -16.76 -1.65 -161.88 -245.6 321.87 -69.09 -313.22 -246.89 -148.38
969	1 6.579 3.289 -104.2 60 -32.26 -113.3 -39.43 -87.01 0.01727 -56.31 -27.71 -13.86 -32.52 135.3 -49.33 -38.63 99.22 -23.85 292.78 -88.01 72.54 277.53 110.98 -83.89 10.65 -256.19 36.01 -22.3
970	1 -58.11 -49.33 -170 -60 -131.6 24.55 -0.1707 -101.8 -17.46 77.01 -146.3 -150.5 5.592 102.2 -47.9 169.9 -55.21 -138.8 229.4 -45.95 73.74 -72.1 -240.6 NA -39.81 69.31 358.29 -237.25
971	1 -62.5 -51.52 -118.3 -60 -78.95 14.7 -15.87 -165.3 85.83 79.97 -142.2 -157.1 -81.21 112.9 -80.81 94.95 -90.62 -115.3 -25.68 -323.64 -226.49 93.31 -332.62 -219.84 74.84 64.05 68.93 197.4
972	1 -51.54 -49.42 9.84 -150 -250 79.68 -23.73 152 -138.2 74.47 98.2 -5.359 121 -124.5 -39.31 168.8 -113.2 3.142 307.64 302.14 89.24 -32.55 -157.91 95.9 133.59 80.8 380.47 111.13
973	1 -53.73 -43.76 26.8 -170 -250 125.9 -39.43 -13.55 -104.1 121.4 91.66 -21.05 57.46 -123.4 -197.4 127.9 -20.79 -6.436 -53.87 138.92 277.49 -186.1 222.97 300.73 -42.35 122.59 -166.76 30.93
974	1 -9.32 -4.66 12.54 40 -34.48 -51.26 -31.58 -47.84 3.195 -16.95 36.88 12.3 72.28 117.6 -45.75 -16.63 -6.03 -72.61 -324.03 -169.59 -248.41 -300.37 -82.39 173.08 239.57 158.17 276.56 65.77
975	1 -57.78 -55.92 -83.13 -40 -95.24 50.49 -21.78 -209.8 159.4 109.6 -179.7 -132.7 -88.42 69.65 72.5 131.9 -112.2 -114.7 276.26 -240.31 131.15 -218.13 221.56 294.38 -293.41 25.47 153.74 40.41
976	1 -57.2 -59.01 -99.81 -110 -142.9 32.89 -16.53 -190.5 72.85 101.4 -178.1 -143.3 -81.83 53.22 -79.17 129.5 -88.32 -119 -24.62 74.36 251.44 -319.91 -207.6 124.82 -120.53 33.4 359.91 -68.05
977	1 -18.87 -16.19 -8.665 -20 -65.22 -110.7 -63.73 -19.33 40.5 17.47 -67.79 -13.45 -114 11.68 3.122 53.82 21.07 -2.471 -97.36 -157.35 -268.62 158.01 -152.75 224.02 294.36 221.59 -49.11 -225.86
978	1 -46.25 -48.76 -25.83 -60 -52.63 -37.56 -39.78 -63.06 62.74 66.82 -71.58 -79.77 -13.9 64.65 30.19 125.5 -122.7 -97.14 -109.22 -27.85 -259.52 -275.05 203.02 147.71 -55.58 -221.58 -91.29 -199.62
979	1 16.09 8.043 -121.7 80 -30.3 -104.3 -7.305 -43.62 -3.829 -52.89 -59.89 -21.65 45.23 107.9 26.33 -51.7 -66.75 -76.62 206.27 -211.94 -184.82 -8.59 232.1 97.8 189.12 -236.11 -209.77 -68.17
980	1 -46.25 -51.97 -17.41 -120 -192.3 28.24 -35.14 128.3 -187.7 39.92 81.79 -40.38 65.27 -113.1 -171.7 72.8 18.55 9.248 156.57 230.26 -271.34 -233.04 139.83 -22.98 -170.95 -213.82 -221.86 -245.21
981	1 -66.35 -65.23 NA 10 -76.92 -65.75 -35.14 -158.4 72.63 45.6 -135.9 -97.54 -5.885 5.134 30.19 84.83 -111.3 -88.78 -324.53 92.38 -280.98 -319.47 21.22 68.26 -64.91 245.76 94.25 -171.87
982	1 0 12.82 -17.37 70 -78.13 -62.93 -35.14 77.02 -61.83 -41.15 28.5 -19.25 51.24 177.2 -3.834 -3.143 71.63 13.05 -233.76 -268.72 -303.74 215.89 -314.73 -93.97 -316.73 263.63 340.44 -203.63
983	1 -1.687 -0.8435 -102.3 50 -100 -85.71 -35.89 -52.98 -22.92 2.111 -53.28 -27.97 53.45 157.9 -71.06 -38.97 94.76 -30.14 -156.07 -60.47 125.39 -73.71 -31.81 243.54 127.69 -295.3 118.81 -59.4
984	1 -48.92 -46.52 -73.53 -50 25 56.44 1.954 -241.2 161.3 99.57 -188.4 -108.1 -68.31 117.6 -64.37 160 38.79 -86.55 -216.65 -280.73 43.22 223.94 11.5 -155.51 247.11 -112.14 12.09 156.37
985	1 -35.43 -36.09 6.929 -80 NA 35.51 -45.35 183.7 -104.5 42.16 128.4 10.18 137.5 -95.18 -28.26 107.1 -41.29 24.3 -126.65 -366.42 -217.77 -302.35 1.51 325.27 28.27 -82.56 473.88 -128.1
986	1 -60.39 -52.25 -151.6 -110 -71.43 116.6 11.41 -123.7 113.6 159.5 -99.38 -191.9 -136 94.01 -146 113.6 -80.16 -85.24 -301.15 16.01 125.31 198.58 -139.83 -156.9 -17.62 -217.33 17.34 -87.05
987	1 -17.88 -19.97 97.41 -70 -194.4 17.19 -64.27 97.05 -111.2 41.45 110.8 -6.439 161 -91.82 -209.5 1.692 -84.04 -5.219 89.99 -335.57 301.62 205.6 229.84 -263.26 -44.94 -158.56 543.06 109.77
988	1 26.65 9.65 -15.04 80 -15.15 -144.1 -45.35 -115.5 81.74 -21.28 -63.88 -1.905 -4.938 89.81 122.9 -107.6 83.1 -51.79 65.53 -247.01 255.79 -161.93 268.29 -10.17 -214.02 -89.58 -217.76 -119.18
989	1 -47.89 -46.97 -64.7 -120 -192.3 16.71 -47.3 76.44 -85.49 64.41 73.37 0.4447 66.36 -86.7 -56.54 131.6 -26.29 -26.71 245.29 91.54 -11.33 -169.56 130.49 -59.24 295.7 -129.72 127.63 -140.42
990	1 -69.65 -61.14 -135.7 -60 52.63 11.32 -32.8 -228.6 188.5 86.66 -192.2 -113 -169.3 47.22 -20.97 130.4 -84.52 -89.3 135.35 296.14 -263.11 130.58 -184.87 177.56 -144.08 -193.9 263.95 -21.92
991	1 18.66 9.328 1.498 60 -80.65 -112.6 -66.65 -13.34 20.84 6.369 -11.71 6.488 28.83 72.69 -1.13 17.33 -28.68 -71.96 280.19 121.63 75.03 -214.3 199.51 195.51 276.24 -166.21 -232.79 59.36
992	1 -33.58 -43.11 109 -60 -157.9 3.24 -47.3 92.47 -72.47 59.89 77.13 5.093 69.14 -119.6 -16.18 105.7 -48.62 26.08 83.79 67.33 -0.76 -114.04 293.18 89.64 -221.02 -207.93 470.51 203.53
993	1 -53.48 -46.48 -65.89 -50 -50 -2.147 -32.8 -194.3 64.78 101.3 -139.6 -157.1 -107.4 108.8 -55.17 139.4 -61.39 -127.8 156.66 -296.02 -300.98 122.71 57.42 -115.57 -243.3 -215.15 606.66 -19.58
994	1 21.77 33.91 -141.8 50 -33.33 -46.14 -13.46 -95.47 11.62 -26.3 -48.38 -30.24 85.83 204.1 -14.13 -66.94 49.49 -52.35 113.06 -144.73 381.49 -30.6 210.34 260.35 274.68 -296.84 49.13 135.73
995	1 -79.45 -74.15 97.2 -80 -205.9 99.1 -8.178 132.3 -127.9 83.02 129 -34.01 132.3 -78.23 -103.9 136.3 42.44 -71.88 131.42 -58.88 193.61 150.03 -159.43 296.95 73.37 -136.12 331.49 -193.72
996	1 -77.71 -69.65 -35.73 -70 -83.33 13.44 -41.57 -133.8 77.19 112.4 -114.2 -81.1 -64.72 -31.94 6.59 129.5 -79.64 -78.18 302.31 232.93 -85.73 -10.34 72.73 -83.61 -126.11 77.03 527.79 -43.09
997	1 5.53 0.9533 2.702 70 -78.13 -107.4 -60.65 6.177 -14.36 -38.61 45.77 -5.249 71.27 118.7 -49.12 -23.72 84.94 -71.18 -328.23 -118.53 -215.2 87.99 -102.35 56.87 -280.43 201.29 -10.16 -150.36
998	1 -61.41 -50.63 -119.9 -60 -105.3 22.46 -41.57 -166.3 58.88 117.8 -104.5 -131.5 -84.82 94.12 -143.7 103.1 -41.66 -138.3 35.45 -260.8 274.63 96.64 -37.63 -78 -127.73 -119.31 468.5 213.4
999	1 -53.26 -50.18 14.15 -80 -176.5 46.8 -27.26 138.5 -56.21 54.06 130 -9.834 120 -102.8 -44.7 110.7 22.54 -4.745 -273.91 -366.88 -223.9 -24.84 0.9 -152.57 127.31 -96.06 482.3 153.86
1000	1 18.92 4.024 -33.69 110 -41.67 -144.4 -70.19 -73.84 79.81 -18.92 -65.42 -7.75 -30.72 86.24 202.9 -80.12 2.648 15.54 -7.06 183.51 196.69 -38.06 192.42 293.06 101 37.59 316.16 -233.04
1001	1 -67.85 -57.36 35.39 -90 -218.8 42.75 -35.99 161.7 -120.4 38.58 102.5 3.186 141.8 -98.79 50.42 112.8 -42.45 -28.93 283.51 -99.08 -101.94 203.72 -193.9 -29.39 -276.16 262.84 324.27 168.38
1002	1 -20.68 -18.15 -53.47 20 -55.56 -142.9 -44.58 -30.46 -10.59 -49.89 9.707 -11.26 70.12 148 -29.89 -7.939 73.18 -89.16 313.71 -182.41 -151.16 -39.89 238.99 172.05 136.76 50.78 502.57 -96.45
1003	1 -83.09 -72.8 -140.1 -120 -76.92 82.92 -18.82 -190.7 124.2 126.1 -104.6 -132.6 -80.83 24.61 -151.9 89.54 6.388 -136.6 300.42 -155.46 -198.86 300.77 274.02 85.49 250.59 -96.97 578.62 147.29
1004	1 -47.53 -47.2 14.55 -80 -205.9 46.32 -31.7 147.5 -104.1 28.54 141.6 5.112 151.7 -122.7 14.9 109 -66.87 -6.965 87.84 139.41 29.1 30.63 -8.08 191.35 138.82 294.37 -239.5 -29.2
1005	1 -88.65 -77.86 -91.21 -60 -210.5 90.62 -26.83 -50.22 -7.555 150 -68.73 -94.41 54.89 7.663 -27.77 161.2 -66.41 -90.62 242.09 -11.32 277.73 -127.23 -253.24 221.4 48.47 141.08 -37.71 88.24
1006	1 0 -15.24 23.75 70 -46.88 -119.2 -55.02 0.5484 35.46 -4.615 -6.655 -38.25 7.856 83.16 94.47 31.31 102.6 -69.97 -321.31 -10.66 59.26 -78.42 -65.83 147.1 55.35 NA -110.53 -173.92
1007	1 -56.12 -61.6 81.6 -50 -125 26.68 -40.93 62.84 -108.3 58.76 51.97 0.4992 75.16 -64.77 -109.5 55.34 -4.704 -18.35 -60.97 32.54 379.98 83.12 35.22 -241.26 -181.44 346.65 -200.98 -202.2
1008	1 -22.32 -23.36 31.79 70 -62.5 -87.2 -45.62 -12.5 34.28 -12.75 -8.379 8.923 31.37 122.9 85.12 -63.45 13.33 26.91 92.93 126.11 -17.44 -219.96 38.5 -130.73 127.82 354.4 216.23 -56.87
1009	1 -8.514 -5.8 1.568 90 -73.53 -42.57 -68 -1.153 38.92 30.65 -39.62 -18.99 -17.88 40.65 185.6 -45.57 -34.71 -102.2 32.46 -74.27 -101.41 -102.16 278.46 292.71 299.25 -207.73 466.69 88.51
1010	1 -61.15 -59.89 40.21 -70 -222.2 101.7 -18.27 80.61 -172.2 91.87 85.07 -34.02 120.3 -100.5 -113.5 148.5 -48.65 -75.39 -102.96 102.04 170.51 -339.47 13.83 -139.14 220.85 -204.31 156.99 124.11
1011	1 -68.89 -63.76 -4.548 -60 -210.5 128.6 -9.984 -110.7 0.2785 149.7 -69.8 -99.13 75.74 -54.75 -169.7 111.1 -88.17 -106.6 59.01 -53.48 297.42 131.06 -341.68 292.48 -250.54 329.57 313.15 190.49
1012	1 -77.14 -64.81 -18.2 -60 -210.5 63.79 -34.85 -15.36 -102.5 111.5 -89.65 -124.9 -12.31 -6.093 -45.62 148.5 -83.52 -56.64 -141.07 -53.04 292.57 324.64 52.33 263.79 -4.81 299.09 129.36 135.71
1013	1 -18.48 -15.01 36.56 60 -96.77 -45.92 -68.66 -28.09 94.39 50.05 2.248 -110.2 38.67 2.282 98.09 -12.73 41.55 -4.947 68.49 50.1 -74.28 231.16 -56.03 258.2 -56.28 293.81 -30.24 -24.01
1014	1 -4.533 -0.3433 15.97 60 -129 -53.84 -47.98 19.38 -15.85 22.57 7.391 -134.3 7.923 129.5 78.18 -28.21 2.487 -68.59 -69.27 148.64 -116.17 13.09 -345.71 -186.22 -118.38 4.68 107.65 -16.6
1015	1 -53.35 -47.83 -47.78 -140 -136.4 -17.2 -47.98 -168 5.967 68.37 -121.8 -77.23 -115.1 39.39 -152.5 153.8 -8.675 -151.5 125.06 -156.21 92.56 157.88 137.37 -203.08 15.61 -145.27 342.57 -225.85
1016	1 -116.1 -98.44 -62.72 -20 0 -5.318 14.05 -237.9 61.09 64.88 -148 -24.53 -89.75 15.01 -98.93 102.2 11.79 -2.054 -237.68 -306.9 46.8 153.4 -280.93 -229.47 -135.17 13.96 211.5 79.63
1017	1 -61.12 -55.56 -48.24 -80 -88.24 -24.96 -9.912 -138.6 -50.09 32.67 -109.5 -130.9 -70.97 85.72 -166.6 81.75 -80.95 -63.52 42.29 -66.41 -80.79 74.21 -328.5 -169.4 -240.65 6.39 319.52 174.13
1018	1 -62.12 -52.73 -77.56 -110 -107.1 -29.92 -22.62 -10.38 -13.99 37.1 -84.04 -112.4 -5.924 90.52 67.07 126.7 -138 -107.9 -230.36 125.43 -205.18 216 282.17 -29.01 177.06 -197.08 -82.09 -230.04
1019	1 -7.515 1.242 -50.07 30 -125 -12.56 -26.85 152.5 -146.8 -69.06 66.68 74.77 140.8 159.7 146.3 -51.54 134.8 -185.8 -185.2 -315.08 172.92 -42.78 125.41 302.01 -220.08 268.04 69.06 -175.23
1020	1 7.336 15.03 -16.31 50 -66.67 -77.72 -42.75 34.85 -113.2 -52.55 -38.16 17.55 -11.57 99.15 20.49 9.52 107.4 -83.64 -74.24 -111.49 138.85 -170.26 162.49 -134.9 95.24 -75.03 616.49 187.37
1021	1 -40.07 -23.82 1.049 -180 -428.6 164.5 -38.22 127.8 -155.3 120 151.6 -1.59 144.4 -164.2 -216.6 86.41 -111.3 -79.56 -204.14 144.85 38.53 -27.55 -185.55 -125.33 -51.82 -250.96 449.46 189.66
1022	1 33.3 39.38 -149.6 60 -80.65 -24.12 -15.55 -13.28 -43.76 -42.19 70.28 -40.53 155.5 262.4 8.409 -88.79 169.9 -63.93 126.94 55.04 66.25 -243.42 75.17 164.89 91.39 -2.67 270.82 162.94
1023	1 -55.3 -42.8 25.35 -170 -250 106.9 -24.62 212.4 -139.6 81.27 166.6 -17.43 138.8 -154.4 37.65 161 -126.9 -72.08 -274.42 34.56 -7.7 -5.18 -163.11 -195 199.83 223.83 -147.47 127.75
1024	1 -64.33 -51.11 -84.83 -110 -107.1 43.38 -24.62 -182.8 58.71 99.67 -95.18 -144.1 16.28 5.565 -95.85 135 24.93 -131.9 -0.4 209.38 328.11 220.6 -202.23 164.36 215.32 -210.68 505.87 91.08
1025	1 0 3.571 47.18 60 -80.65 -60.73 -48.6 50.64 -72.41 -49.09 12.02 22.65 17.48 128.7 -41.93 -45.13 72.28 -2.333 -174.9 286.48 -43.37 -131.25 285.61 191.66 -160.92 316.91 -108.36 183.44
1026	1 -44.54 -40.13 88.79 -110 -178.6 52.22 -37.9 136.9 -152 52.56 -7.461 33.96 75.17 -94.57 -28.1 72.16 -123.5 -65.12 277.46 13.06 400.2 -1.25 226.76 -22.38 -27.07 -87.57 143.57 -0.03
1027	1 -33.05 -34.38 49.28 -100 -266.7 79.07 -48.6 208.2 -234 54.44 1.856 -17.25 137.9 -113.4 -59.71 64.65 -42.22 -88.16 283.54 144.09 -170.4 45.77 -27.12 60.43 125.41 305.66 -176.88 -75.45
1028	1 -53.88 -48.37 -33.47 -90 -125 33.7 -27.2 -166.8 49.02 98.7 -170.9 -142.9 -31.43 53.52 -30.08 145.6 -124.4 -149.4 79.94 -168.03 20.94 349.59 3.25 271.77 -84.57 308.91 8.63 85.08
1029	1 12.21 9.678 -38.63 70 -62.5 -50.54 -37.9 28.59 -52.69 -42.71 44.21 6.692 45.07 146.4 -20.86 -79.48 -38.53 -3.128 240.1 -317.71 148.77 142.41 -78.12 -238.07 -236.47 42.68 276.86 128.82
1030	1 -3.077 -9.351 -93.61 30 -160.7 -12.4 -35.44 -62.06 -0.06149 49 18.78 -41.9 147.9 29.72 40.01 -0.5837 119.5 -82.99 -131.52 197.68 -280.13 -75.05 -23.52 -242.35 31.69 49.72 556.04 -167.95
1031	1 0 -23.44 67.26 -140 -272.7 82.32 -35.44 137.7 -293.4 2.161 112.7 5.259 147.9 -189 -133.6 22.3 75.35 -5.887 -202.19 183.58 -53.2 26.32 200 5.4 86.81 80.65 476.38 33.35
1032	1 -29.23 -38.05 40.99 -10 -187.5 -19.17 -39.98 36.75 15.16 60.06 -34.51 -23.54 36.34 3.704 94.93 92.47 -98.43 -50.16 -245.98 -154.08 50.54 103.06 -292.4 241.73 -44.24 76.62 607.69 -152.39
1033	1 -16.15 -27.61 -14.72 -100 -166.7 8.739 -49.07 -154.6 -39.49 76 -9.271 -89.48 -12.81 -43.5 -182.8 42.19 19.8 -82.99 262.11 -131.06 292.11 -71.7 -336.49 -167.92 -207.02 348.14 136.27 157.71
1034	1 38.46 27.04 -31.11 10 -173.1 -32.7 -53.61 149.3 -152.2 -43.38 79.78 -7.262 117.6 138.6 -57.91 -17.47 21.94 -150.9 122.41 220.63 90.35 -270.65 229.89 -113.61 37.93 -90.47 549.95 -47.41
1035	1 -18.46 -32.67 102.1 -180 -428.6 54.41 -30.89 162.7 -121.8 69.5 47.52 -10.18 46.74 -96.49 -8.693 89.09 -114.8 27.7 35.73 107.87 314.43 254.85 58.28 125.02 -9.31 -153.4 480.44 106.99
1036	1 2.893 1.446 -99.72 30 -53.57 -33.55 -60.72 -62.4 39.14 51.03 23.03 -38.79 -22.96 26.84 -34.49 -96.8 4.893 -52.48 255.1 257.67 -109.43 -29.75 -332.64 274.57 66.11 201.34 439.69 -48.99
1037	1 -59.92 -54.15 -104.2 -100 -200 48.87 -31.6 43.9 -37.57 103.8 38.5 -67.99 47.6 -38.94 -122.6 146.2 -15.8 -109.8 201.85 67.43 -113.18 -255.1 204.74 -34.85 -273.19 -0.76 -24.08 -125.85
1038	1 -45.87 -51.16 -25.97 -50 -150 9.672 -36.45 -99.57 17.22 93.58 -61.4 -58.62 8.72 -74.1 -56.87 146.2 -5.868 -151.9 215.47 151.55 -269.49 -216.72 -199.04 147.8 194.73 -189.64 606.52 -144.24
1039	1 -20.25 -14.16 -55.63 -100 -266.7 114.2 -51.01 122.6 -130.7 116.4 75.88 -105.4 53.36 -29.87 -30.88 144.1 -88.65 -86.19 214.94 -206.54 313.58 0.06 -249.74 -58.57 61.73 -120.02 506.51 -223.23
1040	1 -35.12 -37.72 20.13 -190 -250 109.2 -36.45 44.32 -36.96 127.5 81.68 -31.07 64.88 -166 -149.3 101.9 -45.6 -46.58 -138.66 217.36 61.72 -17.63 -216.42 23.28 -305.68 79.08 168.3 -10.24
1041	1 -0.4132 7.858 -27.88 40 -103.4 -36.57 -36.45 42.2 -66.18 -35.26 66.21 11.9 134.7 184.5 30.48 -16.9 53.73 -22.98 169.21 -72.84 -83.41 189.87 237.46 -66.54 -188.79 237.1 12.74 -154.8
1042	1 -89.85 -81.51 -74.18 10 -76.92 -21.07 -5.535 -165.8 66.21 76.89 -124.5 -72.65 -41.05 -1.759 53.53 134.8 -47.1 -107.8 124.32 295.96 -63.24 -52.04 -242.4 215.72 128.85 -206.69 147.44 -216.08
1043	1 -41.75 -42.22 10.26 -110 -178.6 10.78 -45.71 160 -145 35.13 43.83 10.81 90.14 -92.37 -150.9 122.9 -47.1 -2.899 301.37 -178.94 2.76 157.03 -17.98 256.33 -52.24 -228.43 204.55 98.59
1044	1 42.28 36.39 0.9956 50 -50 -68.86 -61.78 64.33 -72.72 -33.49 44.61 -40.09 -21.7 112.8 -22.48 -0.9448 139 -90.15 -74.85 150.68 321.71 236.37 298.74 -130.35 34.83 220.86 301.02 -199.12
1045	1 6.871 -5.711 29.63 50 -16.67 -58.24 -45.71 -60.47 140.8 7.425 -6.043 44.55 64.33 -2.801 113.3 53.46 -25.85 5.906 -105.14 -274.36 360.85 -40.67 -270.8 -12.4 -130.09 176.78 413.52 -168.74
1046	1 -0.3497 -0.1748 -59.59 40 -34.48 -72.07 -41.91 -0.2111 3.134 -10.97 -7.094 11.65 67.56 113.2 -67.3 3.295 -1.692 -91.29 108.48 265.22 355.44 173.55 -199.19 234.13 -7.66 20.48 137.99 7.25
1047	1 -47.9 -44.78 75.86 -110 -214.3 1.62 -64.64 169.7 -158.9 40.42 34.29 1.294 59.87 -77.69 -168.5 124.6 -28.3 -50.71 -235.05 -237.88 -233.93 -13.1 -60.39 13.78 48.59 -272.31 390.8 134.39
1048	1 5.944 9.916 43.61 50 -50 -123.2 -64.64 4.427 -21.48 -46.74 23.01 -45.61 62.07 144.7 -36.94 -31.35 69.02 -11.51 -258.81 -173.87 -190.6 -67.65 -226.57 228.04 -45.84 -207.32 471.66 -31.96
1049	1 -64.69 -53.18 -36.85 -70 -138.9 0.597 -53.28 -67.59 -16.7 81.9 -143.2 -116.9 -30.24 -10.17 80.92 37.48 -88.51 -175.9 133.82 -204.09 62.22 299.08 138.26 -68.85 -40.75 94.97 -207.92 56.28
1050	1 -46.5 -44.09 -27.27 -60 -52.63 21.07 -53.28 -161.2 161.1 86.09 -81.71 -38.91 -18.15 -111.9 -144.7 49.79 -172.5 -122.9 47.69 -358.78 -28.77 -35.74 91.3 136.3 -45.89 -62.26 -242.35 196.71
1051	1 -75 -65.63 14.21 -90 -125 13.98 -46.62 -213.8 4.525 131.3 -76.99 -84.95 -16.1 8.653 -139.4 123.9 -12.53 -55.08 -108.25 -264.33 9.58 75.8 -66.28 -136.45 -112.07 20.56 198.77 21.37
1052	1 -3.049 -10.9 16.48 30 -71.43 -95.17 -52.06 -5.079 -23 -26.46 -35.87 -4.158 35.16 85.64 14.31 1.708 37.32 -41.25 78.84 72.73 -211.59 -124.64 71.1 -26.87 192.81 -296.26 338.47 -64.7
1053	1 -68.29 -59.15 -41.84 -90 -218.8 35.11 -35.73 212.5 -88.83 101.9 68.17 -53.85 12.29 -93.73 50.27 171.5 -90.26 -49.32 -229.08 253.61 -277.08 -305.04 -186.99 262.27 -159.59 374.22 451.26 204.11
1054	1 -85.98 -80.49 -151.1 -170 -62.5 71.02 29.62 -297.5 230.7 117.9 -254.6 -129.8 -143.1 43.57 -16.42 218.6 -72.52 -117.9 4.76 -345.81 7.05 -44.01 -172.03 -236.17 -135.93 258.23 -52.5 148.1
1055	1 -83.33 -76.39 -170.1 -50 50 60.72 -4.938 -277.1 181.8 107.3 -224.6 -76.17 -194.8 26.31 108.5 36.42 -17.94 -8.566 -132.11 67.95 -8.23 -256.23 -120.8 217.31 -84.13 -247.46 68.88 96.9
1056	1 1.526e-05 1.526e-05 5.831 60 -96.77 -26.51 -47.26 102.6 -67.81 -18.93 116.7 -18.58 100.2 58.14 -31.25 -49.83 94.89 37.21 18.18 -339.8 -82.56 -320.84 153.46 151.38 72.35 371.62 137.52 -3.77
1057	1 -47.43 -48.02 45.96 -100 -166.7 92.01 -52.55 -33.77 52.79 150.9 -13.35 -51.66 -29.36 -139.8 9.484 193.2 -47.55 -71.5 -9.8 100.97 299.39 -31.67 -34.91 -2.78 -184.03 224.7 252.31 -64.84
1058	1 -50.81 -46.24 -11.39 -140 -181.8 57.88 -52.55 85.16 -82.07 103.3 9.671 -19.2 42.31 -121.9 -41.28 66.72 -262.8 -80.8 -243.77 -174.71 356.3 146.12 229.91 -152.28 156.3 65.68 -167.42 5.74
1059	1 -66.4 -67.92 52.74 20 -18.52 -17.02 -20.81 -162.2 48.25 66.55 -106 32.26 -1.797 -64.22 11.99 94.87 -110.8 41.5 -148.47 -17 208.9 -8.83 -318.99 67.46 -38.1 -185.76 294.54 70.27
1060	1 0.6775 3.811 -3.929 70 -46.88 -85.29 -47.26 -34.3 0.9222 -33.85 45.36 -24.1 0.04083 152.6 -61.33 -79.05 90.09 60.81 -34.91 -247.78 357.98 42.92 -118.73 32.18 -18.77 -334.13 404.48 151.63
1061	1 -44.62 -53.56 -63.26 0 -100 -44.9 -33.8 -0.9442 36.16 24.68 55.58 10.48 22.38 25.08 53.75 -33.02 26.38 -54.58 -30.37 -166.52 231.45 287.35 -150.36 -182.19 -121.95 -244.24 392.53 -7.73
1062	1 -79.4 -70.95 -211.1 -150 -250 110.9 0.786 -134.4 -11.77 108.5 -236.7 -192.4 -41.21 24.22 -108.5 105.5 -64.89 -31.54 -211.45 -25.17 12.35 -304.25 94.25 -174.74 190.55 106.92 -35.01 36.32
1063	1 -93.18 -80.96 -207.2 -80 -88.24 62.39 -18.08 -198.1 14.09 115.6 -78.96 -135.4 -119.5 82.52 -183 112.2 129.3 -63.66 101.99 127.72 -57.91 -34.23 250.95 127.98 84.36 166.72 -2.95 40.96
1064	1 15.75 7.874 -14.07 60 -80.65 -71.29 -27.51 -39.31 9.044 -16.11 -34.54 -80.36 41.95 133.1 71.05 -7.153 48.75 -62.96 -300.46 192.36 85.49 135.08 -23.15 -107.75 -19.95 57.63 404.6 62.54
1065	1 21.07 22.25 -74.29 10 -19.23 -118.3 -41.5 -57.08 -22.62 -34.12 -75.57 -94.78 -58.89 114.1 -52.09 50.93 -67.71 -182 59.41 -302.26 -228.46 314.42 148.5 176.23 -218.94 -20.7 -123.74 -210.54
1066	1 -33.01 -39.94 31.83 -70 -166.7 29.67 -36.42 146.9 -210 -12.53 67.47 57.85 101.9 -76.48 -41.78 18.15 11.05 1.525 -301.58 -233.29 345.88 -60.24 -265.74 -259.82 -110.85 -32.28 -212.4 75.9
1067	1 -52.67 -49.77 -111.7 -150 -150 76.69 -31.35 -190.2 56.09 122.6 -130.3 -65.62 -77.52 -20.1 -160.6 130.1 126.6 8.868 -8.44 -200.78 -170.16 -173.34 -343.17 174.33 -319.54 -99.53 -145.83 -97.7
1068	1 12.64 10.23 42.47 210 -43.48 38.84 -71.96 37.25 26.14 80.29 31.88 7.594 -15.75 -102.4 167.5 6.654 -87.83 134.5 144.73 189.85 322.38 -202.58 68.63 90.63 145.96 69.05 35.77 -50.93
1069	1 -51.97 -57.23 -106.7 -60 -105.3 -31.12 -26.27 -30.43 -44.91 49.5 -42.03 -72.45 -66.74 -13.33 -145.5 95.2 -0.3234 -147 211.7 -265.83 341.85 -109.78 -312.28 -128.8 70.26 32.62 460.74 -193.71
1070	1 -20.37 -21.9 -1.462 -170 -375 151.2 -41.5 142.8 -200.9 79.37 156.4 -0.4721 171.5 -71.97 -143.1 96.91 -36.2 -18.87 -26.92 -41.99 -65.76 339.18 -333.43 87.43 -275.04 -54.55 205.61 66.84
1071	1 -85.59 -77.52 -86.53 -100 -66.67 2.455 -11.75 -73.95 -58.32 50.29 -68.84 -34.16 -39.17 -2.853 -159.9 148.2 75.8 -138.6 309.29 -266.32 269.76 NA 116.71 313.41 257.24 -20.43 -232.76 201.77
